X,Y,OBJECTID,SCHOOL_ID,NAME,ADDRESS,COMMUNITY,CATEGORY,LOWEST_GRADE,HIGHEST_GRADE,LANGUAGE,SCHOOL_BOARD,WEBSITE,COMMENTS,LONGITUDE,LATITUDE
589715.531000000424683,4790952.475299999118,41,115,École secondaire Georges- P.-Vanier,100 Macklin Street North,Hamilton,Secondary School,7,12,French,Conseil Scolaire Viamonde,https://csviamonde.ca,,-79.89453153889345,43.266044211673346
588803.545400000177324,4787893.2827,42,118,Chedoke Elementary School,500 Bendamere Avenue,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.90625997680765,43.238610193481485
588991.089999999850988,4790723.33,45,125,Kehila Jewish Community Day School,215 Cline Avenue North,Hamilton,Alternative Education,Kindergarten,5,French Immersion,,http://www.kehilaschool.ca,,-79.90349347198251,43.26406712275656
592868.645200000144541,4788214.079299999401,1,98,George L. Armstrong Elementary School,460 Concession Street,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.85614811830588,43.24100869457705
591239.83490000013262,4790662.6104,2,13,Hess Street Elementary School,107 Hess Street North,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.87580071890054,43.26325153730924
596793.368700000457466,4786429.65799999982,5,124,Rosedale Elementary School,25 Erindale Avenue,Hamilton,Elementary School,Kindergarten,5,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.80813096728203,43.22445043507802
597692.495199999772012,4787313.547499999404,7,14,Viscount Montgomery Elementary School,1525 Lucerne Avenue,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.79690540264497,43.232291991684214
599846.537200000137091,4786514.738,8,18,Sir Isaac Brock Elementary School,130 Greenford Drive,Hamilton,Elementary School,Kindergarten,5,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.77052861734143,43.22481855901099
589706.703700000420213,4786179.8037,11,153,Annunciation of Our Lord Elementary School,250 Limeridge Road West,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.89541698906716,43.2230767731172
589636.585400000214577,4783493.0796,12,66,Corpus Christi Elementary School,25 Alderson Drive,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.89671635988687,43.19889630243701
593359.396200000308454,4790019.752599999309,13,74,St. Brigid Elementary School,24 Smith Avenue,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.84979890028568,43.257204360438614
588255.780899999663234,4787250.667899999768,14,86,Regina Mundi Elementary School,675 Mohawk Road West,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.91310811029658,43.23288897033073
594488.58530000038445,4789829.4099,15,140,St. Ann (Hamilton) Elementary School,15 St. Ann Street,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.83592257590261,43.25535002407994
586764.152599999681115,4790044.279899999499,107,39,Colin Macdonald Community School,69 Sanders Boulevard,Hamilton,Alternative Education,Kindergarten,8,French Immersion,,http://www.colinmacdonald.ca/,,-79.93103498053536,43.25821327391366
591354.720099999569356,4789653.6191,108,40,Central Elementary School,75 Hunter Street West,Hamilton,Elementary School,Kindergarten,5,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.87455278407133,43.25415372874459
595048.622999999672174,4784996.001,109,41,Lisgar Elementary School,110 Anson Avenue,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.82985739776777,43.211765209414395
595561.7187,4789195.247099999338,110,42,Holy Name of Jesus Elementary School,181 Belmont Avenue North,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.82281452613904,43.249505502985556
589193.112999999895692,4790266.61989999935,111,44,Westdale Secondary School,700 Main Street West,Hamilton,Secondary School,9,12,French Immersion,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.90107865313779,43.2599314678197
